total_loss 0.00601074611768,loss_cham 0.00599509570748,delta_strain 0.00228720786981, dleta_sigma: 0.01334514096379, strain_energy: 0.00181470951065
total_loss 0.00724643794820,loss_cham 0.00723391259089,delta_strain 0.00230073672719, dleta_sigma: 0.01021783612669, strain_energy: 0.00065487169195
total_loss 0.00636616535485,loss_cham 0.00635261787102,delta_strain 0.00228499062359, dleta_sigma: 0.01124596130103, strain_energy: 0.00162199151237
total_loss 0.00580211216584,loss_cham 0.00578599050641,delta_strain 0.00229437393136, dleta_sigma: 0.01379511225969, strain_energy: 0.00321475369856
total_loss 0.00542041147128,loss_cham 0.00540827214718,delta_strain 0.00231386045925, dleta_sigma: 0.00979707948864, strain_energy: 0.00282674119808
total_loss 0.00570701854303,loss_cham 0.00569360097870,delta_strain 0.00232641072944, dleta_sigma: 0.01105452422053, strain_energy: 0.00369852012955
total_loss 0.00520285125822,loss_cham 0.00518781878054,delta_strain 0.00232162792236, dleta_sigma: 0.01267027575523, strain_energy: 0.00402818527073
total_loss 0.00776649545878,loss_cham 0.00775211770087,delta_strain 0.00231809634715, dleta_sigma: 0.01202554628253, strain_energy: 0.00340664130636
total_loss 0.00635690754279,loss_cham 0.00634501688182,delta_strain 0.00230874866247, dleta_sigma: 0.00954873487353, strain_energy: 0.00332172098570
total_loss 0.00589224509895,loss_cham 0.00587970018387,delta_strain 0.00230433186516, dleta_sigma: 0.01019286923110, strain_energy: 0.00475150533020
total_loss 0.00653383228928,loss_cham 0.00652078911662,delta_strain 0.00231153634377, dleta_sigma: 0.01067114807665, strain_energy: 0.00607678666711
total_loss 0.00650626281276,loss_cham 0.00650047138333,delta_strain 0.00094705645461, dleta_sigma: 0.00474895536900, strain_energy: 0.00956855993718
total_loss 0.00779195036739,loss_cham 0.00778834056109,delta_strain 0.00094498449471, dleta_sigma: 0.00257080048323, strain_energy: 0.00941046327353
total_loss 0.00659910775721,loss_cham 0.00659472588450,delta_strain 0.00095539359609, dleta_sigma: 0.00330758234486, strain_energy: 0.01187208481133
total_loss 0.00617373548448,loss_cham 0.00616884883493,delta_strain 0.00096138124354, dleta_sigma: 0.00380798336118, strain_energy: 0.01166831329465
total_loss 0.00587975373492,loss_cham 0.00587630178779,delta_strain 0.00096194760408, dleta_sigma: 0.00238484982401, strain_energy: 0.01050460152328
total_loss 0.00567615125328,loss_cham 0.00567293539643,delta_strain 0.00095838500420, dleta_sigma: 0.00216019968502, strain_energy: 0.00973027758300
total_loss 0.00609323801473,loss_cham 0.00608927197754,delta_strain 0.00095947051886, dleta_sigma: 0.00289606582373, strain_energy: 0.01108260452747
total_loss 0.00814929138869,loss_cham 0.00814514420927,delta_strain 0.00095859891735, dleta_sigma: 0.00307758757845, strain_energy: 0.01105380523950
total_loss 0.00641485396773,loss_cham 0.00640982482582,delta_strain 0.00096618733369, dleta_sigma: 0.00391754787415, strain_energy: 0.01451740879565
total_loss 0.00623628636822,loss_cham 0.00623252149671,delta_strain 0.00097368174465, dleta_sigma: 0.00265840580687, strain_energy: 0.01327086240053
total_loss 0.00705213937908,loss_cham 0.00704752234742,delta_strain 0.00098373147193, dleta_sigma: 0.00344333401881, strain_energy: 0.01896362379193
total_loss 0.00478128064424,loss_cham 0.00477787572891,delta_strain 0.00100506097078, dleta_sigma: 0.00223576021381, strain_energy: 0.01643591001630
